Lead_ID,Name,Company,Email,Phone,Lead_Source,Industry,Lead_Score,Lifecycle_Stage,Intent_Level,Contact_Owner,Last_Engagement_Date
1,Christopher Thomas,"Sherman, Holt and Ward",tara25@yahoo.com,+1-780-643-7196x034,Webinar,SaaS,76,SQL,High,Rep B,2025-06-24
2,Kayla Tucker,Jones Group,baileymeghan@barron.org,(211)542-4015x043,Website Form,HRTech,46,MQL,Mid,Rep B,2025-06-23
3,Lisa Mccormick,"Warren, Monroe and Johnson",alison55@newman.com,875-979-9742x542,Facebook Ads,FinTech,32,MQL,Low,Rep A,2025-06-03
4,Victoria Simon,Lewis-Moreno,richard49@yahoo.com,+1-850-786-7253x08158,Website Form,E-commerce,79,SQL,Mid,Rep D,2025-04-03
5,Jennifer Gonzales,"Strickland, Mercado and Green",mathispaula@shelton.com,(719)992-7523x71002,LinkedIn DMs,HRTech,80,Customer,High,Rep A,2025-06-12
6,Tonya Richardson,"Davidson, Lee and Jones",shaun53@gmail.com,9361301446,Facebook Ads,HRTech,54,MQL,Mid,Rep C,2025-04-29
7,Ashley Rosario,Mckinney Ltd,barrettjason@yahoo.com,806-932-8940x11713,LinkedIn DMs,E-commerce,86,Customer,High,Rep C,2025-06-27
8,David Mann,Harvey Inc,lbass@gmail.com,+1-773-731-6927,Email Campaign,SaaS,92,Customer,High,Rep D,2025-05-06
9,Katherine Gutierrez,Miller Inc,druiz@gmail.com,+1-701-832-5661x806,Facebook Ads,EdTech,20,Lead,Low,Rep A,2025-04-12
10,Thomas Hartman,Williams-Porter,smithedward@anderson.com,001-683-905-1011x816,Webinar,FinTech,33,MQL,Low,Rep B,2025-05-27
11,Derrick Chapman,Patton Group,ccameron@gmail.com,941-163-2822x5196,Referral,SaaS,74,SQL,Mid,Rep A,2025-04-27
12,Susan Stark,Hunter-Hughes,ethomas@yahoo.com,2544965502,LinkedIn DMs,HRTech,40,MQL,Mid,Rep D,2025-06-10
13,Patrick Santana,Richard Ltd,martha48@rivera.com,+1-502-424-2633x523,Referral,FinTech,32,MQL,Low,Rep C,2025-04-14
14,Lori Roberts,Jimenez-Martinez,aaronsmith@vaughn.com,3186767448,Facebook Ads,Healthcare,97,Customer,High,Rep B,2025-06-27
15,Jordan Burns,Porter and Sons,morserachel@reynolds.biz,(676)296-0296x49910,Facebook Ads,FinTech,2,Lead,Low,Rep D,2025-04-27
16,Katherine Riggs,Underwood-Larson,dana44@yahoo.com,(771)371-5342x789,LinkedIn DMs,E-commerce,97,Customer,High,Rep B,2025-04-23
